coap.version,coap.type,coap.token_len,coap.mid,coap.opt.name,coap.opt.length,coap.opt.length_ext,coap.code,coap.payload_length,coap.opt.desc,coap.opt.delta,coap.opt.proxy_uri,attack
1,0,2,46630,2,2,11,3,12,1,1,6,0
1,2,2,46630,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,37318,2,2,11,3,16,1,1,11,0
1,2,2,37318,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,36051,2,2,11,1,-1,1,1,6,0
1,2,2,36051,-1,-1,-1,69,12,-1,-1,-1,0
1,0,2,10071,2,2,11,1,-1,1,1,11,0
1,2,2,10071,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,13889,2,2,11,1,-1,1,1,8,0
1,2,2,13889,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,12583,2,2,11,1,-1,1,1,6,0
1,2,2,12583,-1,-1,-1,69,12,-1,-1,-1,0
1,0,2,6054,2,2,11,1,-1,1,1,11,0
1,2,2,6054,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,16962,2,2,11,1,-1,1,1,8,0
1,2,2,16962,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,47880,2,2,11,3,13,1,1,8,0
1,2,2,47880,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,23488,2,2,11,3,12,1,1,6,0
1,2,2,23488,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,59261,2,2,11,2,300,1,1,6,1
1,2,2,59261,1,1,8,65,-1,2,2,6,0
1,0,2,54137,2,2,11,3,16,1,1,11,0
1,2,2,54137,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,34790,2,2,11,3,13,1,1,8,0
1,2,2,34790,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,60087,2,2,11,2,371,1,1,6,1
1,2,2,60087,1,1,8,65,-1,2,2,6,0
1,0,2,525,2,2,11,3,12,1,1,6,0
1,2,2,525,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,4813,2,2,11,3,16,1,1,11,0
1,2,2,4813,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,24894,2,2,11,3,13,1,1,8,0
1,2,2,24894,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,3577,2,2,11,2,497,1,1,6,1
1,2,2,3577,1,1,8,65,-1,2,2,6,0
1,0,2,48527,2,2,11,1,-1,1,1,6,0
